Post ID,Customer ID,Content,Intent,Sentiment Score,Platform,Sentiment
POST03562,CUST0865,Investing in crypto feels risky but exciting. What do you think?,Investment Interest,0.1997355724,Twitter,neutral
POST03563,CUST0968,Just got my first salary! Thinking of the best way to save and invest.,Crypto Curiosity,-0.7585852015,LinkedIn,negative
POST03564,CUST0208,Investing in crypto feels risky but exciting. What do you think?,Complaint,0.9534962229,Facebook,negative
POST03565,CUST0887,Just got my first salary! Thinking of the best way to save and invest.,Loan Interest,0.8246750185,Facebook,negative
POST03566,CUST0295,Excited about the latest AI-powered budgeting app. Looks promising!,Sponsorship,0.157440026,Facebook,neutral
POST03567,CUST0480,Eager to learn more about sustainable investing. Suggestions?,Debt Repayment Strategy,0.5549538212,Instagram,neutral
POST03568,CUST0720,Finally paid off my student loan! Feels like a huge relief!,Wealth Management,-0.9600590195,Facebook,neutral
POST03569,CUST0813,Switched to a digital-only bank. Loving the seamless experience!,Product Discovery,-0.5970163517,Instagram,neutral
POST03570,CUST0141,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Sponsorship,0.5357260566,Instagram,positive
POST03571,CUST0916,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Product Discovery,-0.7876239728,Facebook,neutral
POST03572,CUST0058,Just got a cashback credit card. Time to maximize my rewards!,Complaint,-0.9145466459,Twitter,neutral
POST03573,CUST0915,Just got my first salary! Thinking of the best way to save and invest.,Debt Repayment Strategy,0.2314318302,Facebook,positive
POST03574,CUST0203,Saving up for my dream vacation. Any good tips to stay on track?,Bank Fee Concern,-0.9315164114,Instagram,positive
POST03575,CUST0859,Struggling with credit card debt. Need a solid repayment strategy!,Financial Literacy,-0.633772319,Instagram,negative
POST03576,CUST0720,Excited about the latest AI-powered budgeting app. Looks promising!,Debt Repayment Strategy,-0.8400361611,Instagram,negative
POST03577,CUST0905,Can’t decide between a high-interest savings account or stocks. Help?,Tech Innovation,0.06854316312,LinkedIn,neutral
POST03578,CUST0333,Just got a cashback credit card. Time to maximize my rewards!,Sponsorship,0.3538684875,LinkedIn,negative
POST03579,CUST0147,Wondering if robo-advisors really beat traditional financial planners.,Digital Banking Experience,-0.6333816114,Facebook,positive
POST03580,CUST0990,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Financial Planning,-0.06248475668,Facebook,negative
POST03581,CUST0311,Which banks offer the best customer service? Tired of waiting on calls.,Bank Fee Concern,-0.9596578533,Instagram,negative
POST03582,CUST0763,Tried an AI financial planner. Super interesting insights on my spending!,Service Quality,-0.4706792742,Facebook,neutral
POST03583,CUST0375,Saving up for my dream vacation. Any good tips to stay on track?,Complaint,-0.6407912965,Facebook,positive
POST03584,CUST0874,Thinking of getting a personal loan to start a small business. Need advice!,Wealth Management,-0.6680712822,Instagram,positive
POST03585,CUST0039,Just got my first salary! Thinking of the best way to save and invest.,Product Discovery,-0.5499600379,LinkedIn,negative
POST03586,CUST0657,Can’t decide between a high-interest savings account or stocks. Help?,Tech Innovation,0.6106881306,Facebook,negative
POST03587,CUST0958,Excited about the latest AI-powered budgeting app. Looks promising!,Complaint,0.8995011881,Facebook,negative
POST03588,CUST0990,Wondering if robo-advisors really beat traditional financial planners.,Service Quality,0.4121045898,Twitter,neutral
POST03589,CUST0989,Can’t decide between a high-interest savings account or stocks. Help?,Tech Innovation,-0.8554889953,Twitter,negative
POST03590,CUST0828,Who else finds banking apps super confusing? UX needs serious work.,Product Discovery,0.2563276245,LinkedIn,negative
POST03591,CUST0810,Switched to a digital-only bank. Loving the seamless experience!,Cashback Rewards,0.4682306716,Facebook,neutral
POST03592,CUST0898,Which banks offer the best customer service? Tired of waiting on calls.,Budget Concerns,-0.7777493525,Facebook,positive
POST03593,CUST0050,Wondering if robo-advisors really beat traditional financial planners.,Crypto Curiosity,-0.4113544532,Facebook,neutral
POST03594,CUST0067,Investing in crypto feels risky but exciting. What do you think?,Crypto Curiosity,-0.1432373564,Instagram,negative
POST03595,CUST0916,Finally paid off my student loan! Feels like a huge relief!,Service Quality,-0.3785520201,Facebook,negative
POST03596,CUST0001,"Just finished a 5k run, need new running shoes, any suggestions?",Complaint,0.03663678132,Facebook,positive
POST03597,CUST0133,Thinking of getting a personal loan to start a small business. Need advice!,Tech Innovation,-0.738159601,Twitter,neutral
POST03598,CUST0353,Struggling with credit card debt. Need a solid repayment strategy!,Complaint,-0.1105011936,Facebook,negative
POST03599,CUST0382,Eager to learn more about sustainable investing. Suggestions?,Tech Innovation,0.4665604846,Twitter,positive
POST03600,CUST0935,I need a budget-friendly laptop for work. Any solid choices under $1000?,Budget Concerns,-0.07813351407,LinkedIn,negative
POST03601,CUST0599,Who else finds banking apps super confusing? UX needs serious work.,Complaint,-0.5791301807,Facebook,positive
POST03602,CUST0658,Struggling with credit card debt. Need a solid repayment strategy!,Audience Engagement,0.6042250781,Instagram,negative
POST03603,CUST0068,Who else finds banking apps super confusing? UX needs serious work.,Sponsorship,-0.211208831,LinkedIn,negative
POST03604,CUST0873,Investing in crypto feels risky but exciting. What do you think?,Sponsorship,-0.1498151988,LinkedIn,positive
POST03605,CUST0097,Just got my first salary! Thinking of the best way to save and invest.,Tech Innovation,-0.284752961,Facebook,positive
POST03606,CUST0474,Just got a cashback credit card. Time to maximize my rewards!,Complaint,-0.4205367318,Facebook,negative
POST03607,CUST0790,Looking for the best credit card with travel rewards. Any recommendations?,Digital Banking Experience,0.2038958662,Twitter,positive
POST03608,CUST0798,Investing in crypto feels risky but exciting. What do you think?,Financial Literacy,-0.6243854017,LinkedIn,negative
POST03609,CUST0602,Finally paid off my student loan! Feels like a huge relief!,Product Discovery,0.5384593876,Twitter,negative
POST03610,CUST0769,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Financial Planning,-0.03660100762,Twitter,neutral
POST03611,CUST0070,Eager to learn more about sustainable investing. Suggestions?,Cashback Rewards,0.7671749932,Facebook,negative
POST03612,CUST0593,Switched to a digital-only bank. Loving the seamless experience!,Sponsorship,0.8777816892,LinkedIn,negative
POST03613,CUST0735,Which banks offer the best customer service? Tired of waiting on calls.,Audience Engagement,-0.234054041,Instagram,positive
POST03614,CUST0307,Eager to learn more about sustainable investing. Suggestions?,Financial Literacy,-0.6823535765,Twitter,neutral
POST03615,CUST0836,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,0.0105201289,LinkedIn,positive
POST03616,CUST0586,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Tech Innovation,-0.4590964479,LinkedIn,positive
POST03617,CUST0189,Saving up for my dream vacation. Any good tips to stay on track?,Loan Interest,-0.1469540919,LinkedIn,negative
POST03618,CUST0176,Which banks offer the best customer service? Tired of waiting on calls.,Savings Planning,-0.2451142555,Facebook,negative
POST03619,CUST0309,Just got a cashback credit card. Time to maximize my rewards!,Tech Enthusiasm,-0.09905570292,Facebook,negative
POST03620,CUST0359,Who else finds banking apps super confusing? UX needs serious work.,Financial Literacy,-0.002868814949,Facebook,positive
POST03621,CUST0802,Excited about the latest AI-powered budgeting app. Looks promising!,Service Quality,0.2548577864,Twitter,positive
POST03622,CUST0214,Just got a cashback credit card. Time to maximize my rewards!,Complaint,-0.9923720608,Facebook,negative
POST03623,CUST0500,Wondering if robo-advisors really beat traditional financial planners.,Digital Banking Experience,-0.4871592503,LinkedIn,positive
POST03624,CUST0511,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Shopping Recommendation,-0.6594915769,LinkedIn,neutral
POST03625,CUST0854,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Wealth Management,0.4208933193,Facebook,neutral
POST03626,CUST0135,Just got my first salary! Thinking of the best way to save and invest.,Sponsorship,0.6646543559,Twitter,neutral
POST03627,CUST0039,Just got my first salary! Thinking of the best way to save and invest.,Financial Planning,0.451512915,Facebook,positive
POST03628,CUST0805,Switched to a digital-only bank. Loving the seamless experience!,Tech Enthusiasm,0.9493276249,Facebook,neutral
POST03629,CUST0063,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Investment Interest,-0.8455049407,LinkedIn,negative
POST03630,CUST0439,Eager to learn more about sustainable investing. Suggestions?,Audience Engagement,-0.0704915257,LinkedIn,negative
POST03631,CUST0271,Struggling with credit card debt. Need a solid repayment strategy!,Cashback Rewards,0.7987405424,Instagram,negative
POST03632,CUST0723,Tried an AI financial planner. Super interesting insights on my spending!,Cashback Rewards,-0.3618232705,Facebook,neutral
POST03633,CUST0074,Saving up for my dream vacation. Any good tips to stay on track?,Financial Planning,0.6046342152,Instagram,neutral
POST03634,CUST0869,Investing in crypto feels risky but exciting. What do you think?,Loan Interest,0.1234813402,LinkedIn,positive
POST03635,CUST0384,Switched to a digital-only bank. Loving the seamless experience!,Complaint,0.9571133454,Twitter,negative
POST03636,CUST0613,"Just finished a 5k run, need new running shoes, any suggestions?",Financial Planning,-0.2579560955,Twitter,positive
POST03637,CUST0702,Which banks offer the best customer service? Tired of waiting on calls.,Savings Planning,-0.1656654838,Instagram,neutral
POST03638,CUST0626,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Tech Enthusiasm,-0.6723870014,LinkedIn,positive
POST03639,CUST0324,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Service Quality,-0.6807197362,Instagram,negative
POST03640,CUST0110,Switched to a digital-only bank. Loving the seamless experience!,Loan Interest,0.7220045941,Instagram,positive
POST03641,CUST0946,Switched to a digital-only bank. Loving the seamless experience!,Debt Repayment Strategy,-0.1854097485,LinkedIn,positive
POST03642,CUST0937,Excited about the latest AI-powered budgeting app. Looks promising!,Investment Interest,0.2409310664,Facebook,neutral
POST03643,CUST0061,Investing in crypto feels risky but exciting. What do you think?,Debt Repayment Strategy,0.5045044914,Facebook,neutral
POST03644,CUST0793,Just got a cashback credit card. Time to maximize my rewards!,Digital Banking Experience,-0.1235135278,LinkedIn,neutral
POST03645,CUST0156,Finally paid off my student loan! Feels like a huge relief!,Debt Repayment Strategy,0.9075679891,Instagram,neutral
POST03646,CUST0241,Finally paid off my student loan! Feels like a huge relief!,Investment Interest,0.8763473574,LinkedIn,negative
POST03647,CUST0492,Struggling with credit card debt. Need a solid repayment strategy!,Wealth Management,0.3602366054,Instagram,negative
POST03648,CUST0722,I need a budget-friendly laptop for work. Any solid choices under $1000?,Debt Repayment Strategy,0.9904156266,LinkedIn,positive
POST03649,CUST0752,Tried an AI financial planner. Super interesting insights on my spending!,Audience Engagement,-0.9947030053,Instagram,negative
POST03650,CUST0291,Wondering if robo-advisors really beat traditional financial planners.,Tech Enthusiasm,-0.981494593,LinkedIn,positive
POST03651,CUST0851,Who else finds banking apps super confusing? UX needs serious work.,Bank Fee Concern,-0.8649303692,LinkedIn,neutral
POST03652,CUST0234,Excited about the latest AI-powered budgeting app. Looks promising!,Wealth Management,0.8870396572,LinkedIn,positive
POST03653,CUST0758,Which banks offer the best customer service? Tired of waiting on calls.,Debt Repayment Strategy,0.209669088,LinkedIn,positive
POST03654,CUST0437,Switched to a digital-only bank. Loving the seamless experience!,Loan Interest,0.8554447841,Twitter,negative
POST03655,CUST0980,Which banks offer the best customer service? Tired of waiting on calls.,Tech Innovation,-0.7458036553,LinkedIn,positive
POST03656,CUST0167,Can’t decide between a high-interest savings account or stocks. Help?,Savings Planning,-0.9360426648,Facebook,negative
POST03657,CUST0993,Struggling with credit card debt. Need a solid repayment strategy!,Investment Interest,0.08656450496,Facebook,positive
POST03658,CUST0315,I need a budget-friendly laptop for work. Any solid choices under $1000?,Wealth Management,-0.6495612338,Twitter,negative
POST03659,CUST0065,Switched to a digital-only bank. Loving the seamless experience!,Tech Enthusiasm,0.7196677557,LinkedIn,neutral
POST03660,CUST0367,Finally paid off my student loan! Feels like a huge relief!,Investment Interest,-0.1591812194,Facebook,negative
POST03661,CUST0641,I need a budget-friendly laptop for work. Any solid choices under $1000?,Cashback Rewards,0.5409135226,LinkedIn,neutral
POST03662,CUST0120,I need a budget-friendly laptop for work. Any solid choices under $1000?,Loan Interest,0.0328776698,LinkedIn,negative
POST03663,CUST0745,Can’t decide between a high-interest savings account or stocks. Help?,Service Quality,0.0573409093,Instagram,neutral
POST03664,CUST0813,Wondering if robo-advisors really beat traditional financial planners.,Crypto Curiosity,0.3636900165,Facebook,neutral
POST03665,CUST0019,Struggling with credit card debt. Need a solid repayment strategy!,Digital Banking Experience,-0.32909635,Instagram,negative
POST03666,CUST0688,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,0.8976946025,Twitter,neutral
POST03667,CUST0433,Struggling with credit card debt. Need a solid repayment strategy!,Sponsorship,-0.1991797873,LinkedIn,positive
POST03668,CUST0201,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Financial Planning,-0.2039152331,Twitter,positive
POST03669,CUST0782,Who else finds banking apps super confusing? UX needs serious work.,Tech Innovation,0.4148444819,Facebook,neutral
POST03670,CUST0067,Excited about the latest AI-powered budgeting app. Looks promising!,Investment Interest,0.2725037156,Instagram,neutral
POST03671,CUST0670,Thinking of getting a personal loan to start a small business. Need advice!,Wealth Management,0.9915632263,Instagram,neutral
POST03672,CUST0233,Just got a cashback credit card. Time to maximize my rewards!,Product Discovery,0.7004616191,Facebook,negative
POST03673,CUST0116,Saving up for my dream vacation. Any good tips to stay on track?,Audience Engagement,-0.4308184278,Twitter,positive
POST03674,CUST0705,Looking for the best credit card with travel rewards. Any recommendations?,Crypto Curiosity,-0.7968947745,Instagram,neutral
POST03675,CUST0325,Saving up for my dream vacation. Any good tips to stay on track?,Financial Literacy,-0.7867456397,Facebook,neutral
POST03676,CUST0727,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Loan Interest,-0.2767824502,LinkedIn,negative
POST03677,CUST0006,Can’t decide between a high-interest savings account or stocks. Help?,Audience Engagement,-0.04562800977,Instagram,positive
POST03678,CUST0084,Saving up for my dream vacation. Any good tips to stay on track?,Financial Literacy,0.274248183,Instagram,neutral
POST03679,CUST0046,I need a budget-friendly laptop for work. Any solid choices under $1000?,Audience Engagement,0.7154520707,Instagram,positive
POST03680,CUST0042,Who else finds banking apps super confusing? UX needs serious work.,Loan Interest,0.9790809643,Facebook,negative
POST03681,CUST0712,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Savings Planning,-0.182568003,Twitter,positive
POST03682,CUST0189,"Just finished a 5k run, need new running shoes, any suggestions?",Digital Banking Experience,0.09116074717,Twitter,neutral
POST03683,CUST0031,Eager to learn more about sustainable investing. Suggestions?,Budget Concerns,0.2014946407,Twitter,neutral
POST03684,CUST0975,Just got my first salary! Thinking of the best way to save and invest.,Tech Innovation,0.1171234848,Facebook,positive
POST03685,CUST0922,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Bank Fee Concern,-0.8193738295,Facebook,negative
POST03686,CUST0442,Just got my first salary! Thinking of the best way to save and invest.,Tech Innovation,-0.7699186641,Twitter,negative
POST03687,CUST0289,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Debt Repayment Strategy,0.7775109677,LinkedIn,negative
POST03688,CUST0308,Finally paid off my student loan! Feels like a huge relief!,Investment Interest,0.3511680052,Facebook,negative
POST03689,CUST0871,Excited about the latest AI-powered budgeting app. Looks promising!,Tech Enthusiasm,0.357522222,Twitter,neutral
POST03690,CUST0288,Which banks offer the best customer service? Tired of waiting on calls.,Bank Fee Concern,0.6295635033,Twitter,positive
POST03691,CUST0566,Eager to learn more about sustainable investing. Suggestions?,Product Discovery,-0.8317167737,LinkedIn,neutral
POST03692,CUST0641,Eager to learn more about sustainable investing. Suggestions?,Budget Concerns,-0.1690401021,Facebook,positive
POST03693,CUST0389,Looking for the best credit card with travel rewards. Any recommendations?,Bank Fee Concern,-0.5066511509,Instagram,positive
POST03694,CUST0406,Switched to a digital-only bank. Loving the seamless experience!,Tech Innovation,0.3216132639,Instagram,negative
POST03695,CUST0991,"Just finished a 5k run, need new running shoes, any suggestions?",Budget Concerns,-0.5701302103,Facebook,negative
POST03696,CUST0874,Saving up for my dream vacation. Any good tips to stay on track?,Debt Repayment Strategy,0.3842497518,Facebook,positive
POST03697,CUST0889,Can’t decide between a high-interest savings account or stocks. Help?,Financial Literacy,-0.2241990684,LinkedIn,positive
POST03698,CUST0645,Looking for the best credit card with travel rewards. Any recommendations?,Audience Engagement,-0.1211889237,Twitter,positive
POST03699,CUST0520,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,0.6360255936,Instagram,neutral
POST03700,CUST0070,Looking for the best credit card with travel rewards. Any recommendations?,Investment Interest,-0.3036659511,LinkedIn,positive
POST03701,CUST0831,Wondering if robo-advisors really beat traditional financial planners.,Cashback Rewards,-0.4868015958,LinkedIn,neutral
POST03702,CUST0522,Finally paid off my student loan! Feels like a huge relief!,Digital Banking Experience,0.7005295467,LinkedIn,positive
POST03703,CUST0750,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Shopping Recommendation,0.3707981774,Instagram,negative
POST03704,CUST0702,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Audience Engagement,-0.1922088418,Twitter,positive
POST03705,CUST0808,Just got a cashback credit card. Time to maximize my rewards!,Sponsorship,-0.002878158473,Twitter,positive
POST03706,CUST0102,Just got my first salary! Thinking of the best way to save and invest.,Sponsorship,-0.3042838623,Instagram,neutral
POST03707,CUST0745,Can’t decide between a high-interest savings account or stocks. Help?,Crypto Curiosity,0.1024179773,LinkedIn,positive
POST03708,CUST0431,Just got a cashback credit card. Time to maximize my rewards!,Complaint,-0.7226083674,Twitter,neutral
POST03709,CUST0336,"Just finished a 5k run, need new running shoes, any suggestions?",Digital Banking Experience,0.7768841989,Instagram,neutral
POST03710,CUST0312,"Just finished a 5k run, need new running shoes, any suggestions?",Wealth Management,0.1080960572,Facebook,negative
POST03711,CUST0796,I need a budget-friendly laptop for work. Any solid choices under $1000?,Tech Enthusiasm,-0.2294621214,LinkedIn,negative
POST03712,CUST0056,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Bank Fee Concern,0.1431873745,Facebook,negative
POST03713,CUST0509,I need a budget-friendly laptop for work. Any solid choices under $1000?,Product Discovery,-0.6776146963,Instagram,negative
POST03714,CUST0001,Thinking of getting a personal loan to start a small business. Need advice!,Financial Literacy,-0.8430543646,Instagram,neutral
POST03715,CUST0238,Just got a cashback credit card. Time to maximize my rewards!,Financial Literacy,0.09625227316,Twitter,positive
POST03716,CUST0820,Which banks offer the best customer service? Tired of waiting on calls.,Bank Fee Concern,-0.8590065761,Facebook,neutral
POST03717,CUST0210,Can’t decide between a high-interest savings account or stocks. Help?,Audience Engagement,0.3217386457,Instagram,negative
POST03718,CUST0062,Finally paid off my student loan! Feels like a huge relief!,Wealth Management,0.6004830638,Twitter,positive
POST03719,CUST0743,"Just finished a 5k run, need new running shoes, any suggestions?",Bank Fee Concern,0.9767347796,Instagram,neutral
POST03720,CUST0108,Wondering if robo-advisors really beat traditional financial planners.,Product Discovery,0.5384877338,Facebook,positive
POST03721,CUST0170,Saving up for my dream vacation. Any good tips to stay on track?,Investment Interest,0.9482504112,Instagram,neutral
POST03722,CUST0175,Saving up for my dream vacation. Any good tips to stay on track?,Wealth Management,-0.9556342081,Instagram,positive
POST03723,CUST0118,Excited about the latest AI-powered budgeting app. Looks promising!,Budget Concerns,0.1176952438,LinkedIn,positive
POST03724,CUST0359,"Just finished a 5k run, need new running shoes, any suggestions?",Savings Planning,-0.670526551,Instagram,negative
POST03725,CUST0805,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Digital Banking Experience,-0.5097293768,Instagram,negative
POST03726,CUST0139,"Just finished a 5k run, need new running shoes, any suggestions?",Budget Concerns,0.4690708498,Instagram,positive
POST03727,CUST0707,Looking for the best credit card with travel rewards. Any recommendations?,Digital Banking Experience,-0.4943479355,LinkedIn,positive
POST03728,CUST0541,Eager to learn more about sustainable investing. Suggestions?,Audience Engagement,-0.6403768522,Facebook,negative
POST03729,CUST0772,Just got a cashback credit card. Time to maximize my rewards!,Investment Interest,-0.2563095918,LinkedIn,neutral
POST03730,CUST0479,Eager to learn more about sustainable investing. Suggestions?,Cashback Rewards,-0.8334904462,Twitter,positive
POST03731,CUST0651,Can’t decide between a high-interest savings account or stocks. Help?,Shopping Recommendation,-0.7070120743,Facebook,neutral
POST03732,CUST0542,Struggling with credit card debt. Need a solid repayment strategy!,Shopping Recommendation,-0.7070989962,Twitter,negative
POST03733,CUST0591,Thinking of getting a personal loan to start a small business. Need advice!,Product Discovery,-0.547886932,Twitter,positive
POST03734,CUST0591,Looking for the best credit card with travel rewards. Any recommendations?,Budget Concerns,0.7414030822,Facebook,neutral
POST03735,CUST0698,Switched to a digital-only bank. Loving the seamless experience!,Service Quality,-0.4095266353,Instagram,negative
POST03736,CUST0672,Who else finds banking apps super confusing? UX needs serious work.,Cashback Rewards,-0.4522638866,Twitter,positive
POST03737,CUST0669,I need a budget-friendly laptop for work. Any solid choices under $1000?,Tech Enthusiasm,-0.7480232039,Instagram,neutral
POST03738,CUST0113,Switched to a digital-only bank. Loving the seamless experience!,Shopping Recommendation,-0.9677896367,Facebook,positive
POST03739,CUST0811,Who else finds banking apps super confusing? UX needs serious work.,Bank Fee Concern,-0.6792423136,Twitter,neutral
POST03740,CUST0476,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Bank Fee Concern,0.4459425154,Twitter,neutral
POST03741,CUST0085,Wondering if robo-advisors really beat traditional financial planners.,Audience Engagement,0.9396926038,Facebook,positive
POST03742,CUST0230,Just got my first salary! Thinking of the best way to save and invest.,Audience Engagement,0.4876279349,Facebook,negative
POST03743,CUST0551,Can’t decide between a high-interest savings account or stocks. Help?,Debt Repayment Strategy,0.7064553536,Instagram,positive
POST03744,CUST0907,Who else finds banking apps super confusing? UX needs serious work.,Tech Enthusiasm,0.573491321,Facebook,negative
POST03745,CUST0864,Just got my first salary! Thinking of the best way to save and invest.,Savings Planning,-0.407895485,LinkedIn,neutral
POST03746,CUST0155,Tried an AI financial planner. Super interesting insights on my spending!,Audience Engagement,0.462460358,LinkedIn,neutral
POST03747,CUST0280,Which banks offer the best customer service? Tired of waiting on calls.,Shopping Recommendation,0.5011741,Instagram,neutral
POST03748,CUST0805,Who else finds banking apps super confusing? UX needs serious work.,Loan Interest,-0.4828723967,Twitter,negative
POST03749,CUST0833,Thinking of getting a personal loan to start a small business. Need advice!,Loan Interest,0.8413072479,Instagram,neutral
POST03750,CUST0800,"Just finished a 5k run, need new running shoes, any suggestions?",Product Discovery,0.9958943492,Twitter,positive
POST03751,CUST0565,"Just finished a 5k run, need new running shoes, any suggestions?",Crypto Curiosity,0.1225945094,Twitter,neutral
POST03752,CUST0129,Investing in crypto feels risky but exciting. What do you think?,Investment Interest,-0.3668097068,Twitter,negative
POST03753,CUST0109,Saving up for my dream vacation. Any good tips to stay on track?,Crypto Curiosity,-0.2847787434,Facebook,negative
POST03754,CUST0696,Saving up for my dream vacation. Any good tips to stay on track?,Financial Planning,0.1648872826,Instagram,positive
POST03755,CUST0930,Finally paid off my student loan! Feels like a huge relief!,Budget Concerns,-0.984440608,Instagram,positive
POST03756,CUST0722,Switched to a digital-only bank. Loving the seamless experience!,Loan Interest,-0.383326971,Instagram,negative
POST03757,CUST0669,Who else finds banking apps super confusing? UX needs serious work.,Debt Repayment Strategy,-0.9019917772,Instagram,negative
POST03758,CUST0518,Investing in crypto feels risky but exciting. What do you think?,Financial Literacy,0.2483596328,LinkedIn,positive
POST03759,CUST0185,I need a budget-friendly laptop for work. Any solid choices under $1000?,Tech Innovation,0.2081072713,Twitter,positive
POST03760,CUST0607,Just got a cashback credit card. Time to maximize my rewards!,Tech Enthusiasm,0.1820961026,Twitter,positive
POST03761,CUST0014,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Sponsorship,-0.6980186537,Instagram,positive
POST03762,CUST0971,Saving up for my dream vacation. Any good tips to stay on track?,Financial Literacy,0.8891183488,Facebook,negative
POST03763,CUST0069,Struggling with credit card debt. Need a solid repayment strategy!,Complaint,0.06845760042,Facebook,neutral
POST03764,CUST0702,Eager to learn more about sustainable investing. Suggestions?,Digital Banking Experience,0.111723998,LinkedIn,negative
POST03765,CUST0598,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Budget Concerns,0.08851849102,Facebook,positive
POST03766,CUST0563,I need a budget-friendly laptop for work. Any solid choices under $1000?,Crypto Curiosity,0.04882617937,Instagram,negative
POST03767,CUST0525,Switched to a digital-only bank. Loving the seamless experience!,Digital Banking Experience,0.8768558668,LinkedIn,positive
POST03768,CUST0766,"Just finished a 5k run, need new running shoes, any suggestions?",Investment Interest,0.2040484104,LinkedIn,negative
POST03769,CUST0332,Tried an AI financial planner. Super interesting insights on my spending!,Financial Planning,-0.02974957013,Twitter,positive
POST03770,CUST0617,Saving up for my dream vacation. Any good tips to stay on track?,Debt Repayment Strategy,0.532890354,Facebook,positive
POST03771,CUST0644,Wondering if robo-advisors really beat traditional financial planners.,Complaint,-0.4970750021,Facebook,negative
POST03772,CUST0038,Struggling with credit card debt. Need a solid repayment strategy!,Tech Enthusiasm,-0.6159799441,Facebook,positive
POST03773,CUST0510,Wondering if robo-advisors really beat traditional financial planners.,Shopping Recommendation,-0.1215747124,Instagram,neutral
POST03774,CUST0644,Thinking of getting a personal loan to start a small business. Need advice!,Bank Fee Concern,-0.9686287081,Twitter,positive
POST03775,CUST0670,"Just finished a 5k run, need new running shoes, any suggestions?",Financial Literacy,-0.4129659875,Twitter,positive
POST03776,CUST0310,Which banks offer the best customer service? Tired of waiting on calls.,Service Quality,-0.1598511763,Instagram,positive
POST03777,CUST0065,Which banks offer the best customer service? Tired of waiting on calls.,Bank Fee Concern,0.1573974589,LinkedIn,neutral
POST03778,CUST0701,Saving up for my dream vacation. Any good tips to stay on track?,Shopping Recommendation,0.08640687656,Twitter,negative
POST03779,CUST0945,Excited about the latest AI-powered budgeting app. Looks promising!,Cashback Rewards,-0.2651962473,Twitter,neutral
POST03780,CUST0415,Saving up for my dream vacation. Any good tips to stay on track?,Bank Fee Concern,-0.3134738412,LinkedIn,neutral
POST03781,CUST0426,Struggling with credit card debt. Need a solid repayment strategy!,Tech Innovation,-0.9973624379,Facebook,neutral
POST03782,CUST0434,Just got a cashback credit card. Time to maximize my rewards!,Budget Concerns,0.7622254932,Twitter,negative
POST03783,CUST0279,Saving up for my dream vacation. Any good tips to stay on track?,Bank Fee Concern,-0.5374526001,Instagram,positive
POST03784,CUST0974,Looking for the best credit card with travel rewards. Any recommendations?,Budget Concerns,-0.2839936828,Twitter,neutral
POST03785,CUST0227,Tried an AI financial planner. Super interesting insights on my spending!,Sponsorship,-0.959490039,Facebook,positive
POST03786,CUST0209,Finally paid off my student loan! Feels like a huge relief!,Product Discovery,0.913686295,Facebook,neutral
POST03787,CUST0828,"Just finished a 5k run, need new running shoes, any suggestions?",Debt Repayment Strategy,-0.01085491265,Instagram,neutral
POST03788,CUST0416,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Bank Fee Concern,-0.9534550413,Twitter,neutral
POST03789,CUST0440,Finally paid off my student loan! Feels like a huge relief!,Wealth Management,-0.4976119349,Twitter,neutral
POST03790,CUST0056,I need a budget-friendly laptop for work. Any solid choices under $1000?,Investment Interest,0.7585251292,Facebook,neutral
POST03791,CUST0100,Just got my first salary! Thinking of the best way to save and invest.,Wealth Management,-0.2485967706,Twitter,neutral
POST03792,CUST0599,Can’t decide between a high-interest savings account or stocks. Help?,Financial Literacy,0.3788102446,Facebook,negative
POST03793,CUST0290,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,0.2277014102,Instagram,positive
POST03794,CUST0495,"Just finished a 5k run, need new running shoes, any suggestions?",Wealth Management,-0.05612327053,Twitter,positive
POST03795,CUST0742,Who else finds banking apps super confusing? UX needs serious work.,Audience Engagement,0.666437595,Facebook,negative
